Ticker,Sector,Industry,Title
NMTP,Industrials,Marine Port Services,NOVOROSSIYSK COMME
NNSB,Utilities,Electric Utilities,TNS ENERGO NN
NNSBP,Utilities,Electric Utilities,TNS ENERGO NN
NPOF,,,FIZIKA SCIENTIFIC
NSVZ,Telecommunications Services,Integrated Telecommunications Services,NAUKA-TELECOM
NVTK,Energy,Integrated Oil & Gas,NOVATEK
OBUV,Consumer Cyclicals,Footwear,OR PUB JOINT STK C
ODVA,Consumer Cyclicals,Broadcasting,MEDIAHOLDING
OGKB,Utilities,Electric Utilities,OGK-2
OMZZP,Industrials,Industrial Machinery & Equipment,UNITED HEAVY MACH
OPIN,Financials,Real Estate Development & Operations,INGRAD
PAZA,Industrials,Heavy Machinery & Vehicles,PAVLOVO BUS
PHOR,Basic Materials,Agricultural Chemicals,PHOSAGRO
PIKK,Consumer Cyclicals,Homebuilding,PIK GROUP
PLSM,Industrials,Industrial Machinery & Equipment,PLASMEQ
PLZL,Basic Materials,Gold,POLYUS
PMSB,Utilities,Electric Utilities,PERM ENERGY SUPPLY
PMSBP,Utilities,Electric Utilities,PERM ENERGY SUPPLY
POLY,Basic Materials,Integrated  Mining,POLYMETAL INTL PLC
PRFN,Consumer Cyclicals,Construction Supplies & Fixtures,CHELYABINSK PLANT
PRMB,Financials,Banks,PRIMORYE COMM BANK
PRTK,Consumer Non-Cyclicals,Drug Retailers,PROTEK
QIWI,Industrials,Business Support Services,QIWI PLC
RASP,Energy,Coal,RASPADSKAYA
RAVN,Financials,Real Estate Development & Operations,RAVEN PROPERTY GRP
RBCM,Industrials,Professional Information Services,RBC
RDRB,,,ROSDORBANK
RGSS,Financials,Multiline Insurance & Brokers,ROSGOSSTRAKH INS
RKKE,Industrials,Aerospace & Defense,ENERGIA ROCKET AND
RLMN,Industrials,Industrial Conglomerates,ROLLMAN GROUP
RLMNP,Industrials,Industrial Conglomerates,ROLLMAN GROUP
RNFT,Energy,Oil & Gas Exploration and Production,RUSSNEFT
ROLO,Basic Materials,Specialty Mining & Metals,RUSOLOVO
ROSB,Financials,Banks,ROSBANK
ROSN,Energy,Integrated Oil & Gas,ROSNEFT OIL CO
ROST,Consumer Cyclicals,Restaurants & Bars,ROSINTER RESTAURAN
RSTI,Utilities,Electric Utilities,ROSSETI
RSTIP,Utilities,Electric Utilities,ROSSETI
RTGZ,Utilities,Natural Gas Utilities,GAZPROM GA ROSTOV-
RTKM,Telecommunications Services,Integrated Telecommunications Services,ROSTELECOM
RTKMP,Telecommunications Services,Integrated Telecommunications Services,ROSTELECOM
RTSB,Utilities,Electric Utilities,TNS ENERGO ROSTOV
RTSBP,Utilities,Electric Utilities,TNS ENERGO ROSTOV
RUAL,Basic Materials,Aluminum,United Company RUSAL PLC
RUGR,Consumer Non-Cyclicals,Fishing & Farming,RUSGRAIN HOLDING
RUSI,Financials,Investment Banking & Brokerage Services,INVESTMENT CO IC
RUSP,Basic Materials,Steel,RUSPOLYMET
RZSB,Utilities,Electric Utilities,RYAZANENERGOSBYT
SAGO,Utilities,Electric Utilities,SAMARAENERGO
SAGOP,Utilities,Electric Utilities,SAMARAENERGO
SARE,Utilities,Electric Utilities,SARATOVENERGO
SAREP,Utilities,Electric Utilities,SARATOVENERGO
SBER,Financials,Banks,SBERBANK
SBERP,Financials,Banks,SBERBANK OF RUSSIA
SELG,Basic Materials,Gold,SELIGDAR
SELGP,Basic Materials,Gold,SELIGDAR
SFIN,Financials,Corporate Financial Services,SAFMAR FINL INV
SIBG,Consumer Non-Cyclicals,Food Processing,SIBERIAN GOSTINEC
SIBN,Energy,Integrated Oil & Gas,GAZPROM NEFT
SLEN,Utilities,Electric Utilities,SAKHALINENERGO
SNGS,Energy,Integrated Oil & Gas,SURGUTNEFTEGAS PJS
SNGSP,Energy,Integrated Oil & Gas,SURGUTNEFTEGAS PJS
STSB,Utilities,Electric Utilities,STAVROPOLENERGOSBY
STSBP,Utilities,Electric Utilities,STAVROPOLENERGOSBY
SVAV,Consumer Cyclicals,Auto & Truck Manufacturers,SOLLERS
SZPR,Industrials,Marine Freight & Logistics,NORTH-WESTERN SHIP
TANL,Industrials,Aerospace & Defense,TANTAL
TASB,Utilities,Electric Utilities,TAMBOV POWER SUPPL
TASBP,Utilities,Electric Utilities,TAMBOV POWER SUPPL
TATN,Energy,Integrated Oil & Gas,TATNEFT
TATNP,Energy,Integrated Oil & Gas,TATNEFT
TGKA,Utilities,Electric Utilities,TGC-1
TGKB,Utilities,Multiline Utilities,TERRITORIAL GENER
TGKBP,Utilities,Multiline Utilities,TERRITORIAL GENER
TGKD,Utilities,Electric Utilities,QUADRA-POWER GENER
TGKDP,Utilities,Electric Utilities,QUADRA-POWER GENER
TGKN,Utilities,Water Utilities,TGC-14
TNSE,Utilities,Electric Utilities,TNS ENERGO PUBLIC
TORS,Utilities,Electric Utilities,TOMSK DISTRIBUTION
TORSP,Utilities,Electric Utilities,TOMSK DISTRIBUTION
TRCN,Industrials,Ground Freight & Logistics,TRANSCONTAINER
TRFM,,,TRANSFIN-M PUB CO
TRMK,Basic Materials,Steel,TMK PAO
TRNFP,Energy,Oil & Gas Transportation Services,TRANSNEFT
TTLK,Telecommunications Services,Integrated Telecommunications Services,TATTELECOM
TUCH,Basic Materials,Construction Materials,TUCHKOVSKIY COMPL
TUZA,Industrials,Heavy Machinery & Vehicles,TUIMAZINSKIY ZAVOD
UCSS,,,UNITED CREDIT SYS
UKUZ,Energy,Coal,SOUTHERN KUZBASS C
UNAC,Industrials,Aerospace & Defense,UNITED AIRCRAFT CO
UNKL,Basic Materials,Specialty Mining & Metals,SOUTHERN URALS NIC
UPRO,Utilities,Electric Utilities,UNIPRO
URKA,Basic Materials,Agricultural Chemicals,URALKALI
URKZ,Basic Materials,Steel,URALS STAMPINGS
USBN,Financials,Banks,BANK URALSIB
UTAR,Industrials,Airlines,UTAIR AVIATION
UTSY,,,UNIFORM TECHNO SYS
UWGN,Industrials,Heavy Machinery & Vehicles,UNITED WAGON COMPA
VDSB,Utilities,Electric Utilities,VLADIMIR POWER SAL
VGSB,Utilities,Electric Utilities,VOLGOGRADENERGOSBY
VGSBP,Utilities,Electric Utilities,VOLGOGRADENERGOSBY
VJGZ,Energy,Oil & Gas Exploration and Production,VARYOGANNEFTEGAZ P
VJGZP,Energy,Oil & Gas Exploration and Production,VARYOGANNEFTEGAZ P
